Voter ID,Age,Income,Employment Status,Sex,Marital Status,Education Level,State of Residence,Ethnicity,Region,Political Ideology,Registered Citizen Status,Sexuality,Military Status,Amount of Children,Likelihood to Vote,Income Bracket,Government Trust,Physical Health,Mental Health,Religion,Gun Possession Status
Democrat,63,75000,Retired,Non-Binary,Single,Master's Degree,Vermont,Other,Northeast,Socialist,Registered,Heterosexual,Veteran,3,Likely,Middle,Neutral,Excellent,Poor,Christian,Possessor
Democrat,47,70000,Unemployed,Female,Single,Associate Degree,Maryland,Black,South,Liberal,Registered,Heterosexual,Non-Veteran,5,Unlikely,Middle,Distrustful,Poor,Excellent,Christian,Non-Possessor
Democrat,41,305000,Student,Male,Married,Doctoral Degree,Hawaii,Asian,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,2,Likely,Middle,Trustful,Poor,Good,Jewish,Non-Possessor
Democrat,21,340000,Unemployed,Male,Single,High School,New Jersey,White,Northeast,Centrist,Registered,Heterosexual,Non-Veteran,4,Unlikely,Middle,Neutral,Excellent,Poor,Hindu,Non-Possessor
Democrat,77,250000,Unemployed,Female,Married,Doctoral Degree,Indiana,White,Midwest,Socialist,Registered,Heterosexual,Non-Veteran,1,Likely,High,Distrustful,Good,Poor,Jewish,Non-Possessor
Democrat,46,250000,Retired,Male,Divorced,Master's Degree,Oregon,Black,West Coast,Progressive,Registered,Heterosexual,Non-Veteran,4,Unlikely,Low,Neutral,Fair,Excellent,Christian,Possessor
Republican,68,185000,Employed,Female,Married,Doctoral Degree,Oklahoma,Black,South,Centrist,Registered,Heterosexual,Non-Veteran,3,Unlikely,High,Trustful,Poor,Good,Christian,Non-Possessor
Democrat,65,250000,Unemployed,Male,Married,Bachelor's Degree,Illinois,Hispanic,Midwest,Liberal,Registered,Gay,Non-Veteran,4,Undecided,Low,Distrustful,Poor,Fair,Christian,Possessor
Democrat,35,40000,Retired,Non-Binary,Married,Master's Degree,Nevada,White,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,5,Undecided,High,Distrustful,Fair,Poor,Christian,Non-Possessor
Democrat,73,15000,Unemployed,Female,Divorced,High School,Texas,Hispanic,South,Conservative,Registered,Heterosexual,Non-Veteran,1,Likely,Low,Distrustful,Fair,Good,Christian,Non-Possessor
Republican,37,155000,Employed,Female,Single,Bachelor's Degree,Alabama,White,South,Libertarian,Registered,Heterosexual,Non-Veteran,0,Undecided,High,Neutral,Excellent,Fair,Christian,Non-Possessor
Republican,73,205000,Employed,Female,Married,High School,Maryland,Hispanic,South,Liberal,Registered,Heterosexual,Non-Veteran,4,Likely,High,Neutral,Poor,Fair,Muslim,Non-Possessor
Republican,79,35000,Student,Male,Single,High School,Montana,Black,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,1,Likely,Middle,Neutral,Excellent,Excellent,Hindu,Non-Possessor
Democrat,45,130000,Unemployed,Female,Married,Master's Degree,North Dakota,Asian,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,0,Undecided,Low,Trustful,Excellent,Fair,Christian,Non-Possessor
Democrat,69,335000,Employed,Female,Widowed,High School,Washington,Other,West Coast,Liberal,Registered,Heterosexual,Non-Veteran,4,Unlikely,Middle,Neutral,Fair,Poor,Hindu,Non-Possessor
Republican,28,320000,Self-employed,Male,Divorced,Doctoral Degree,Oregon,White,West Coast,Libertarian,Registered,Heterosexual,Veteran,0,Undecided,High,Distrustful,Excellent,Fair,Christian,Possessor
Republican,51,325000,Retired,Female,Single,Doctoral Degree,Delaware,White,South,Centrist,Registered,Heterosexual,Non-Veteran,3,Likely,High,Neutral,Excellent,Excellent,Christian,Non-Possessor
Republican,46,230000,Employed,Male,Widowed,Doctoral Degree,Colorado,Other,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,2,Undecided,Middle,Neutral,Good,Poor,Christian,Possessor
Republican,69,175000,Employed,Female,Married,Bachelor's Degree,Pennsylvania,Black,Northeast,Conservative,Registered,Gay,Non-Veteran,4,Unlikely,Low,Distrustful,Good,Good,Christian,Possessor
Republican,59,40000,Employed,Male,Married,High School,North Carolina,Hispanic,South,Centrist,Registered,Heterosexual,Veteran,5,Undecided,Low,Neutral,Poor,Fair,Christian,Non-Possessor
Democrat,30,50000,Retired,Male,Single,Master's Degree,Delaware,Black,South,Centrist,Registered,Heterosexual,Non-Veteran,2,Unlikely,Low,Trustful,Excellent,Fair,Christian,Possessor
Republican,75,230000,Self-employed,Male,Single,Master's Degree,Utah,Hispanic,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,0,Undecided,High,Distrustful,Good,Fair,Muslim,Non-Possessor
Democrat,63,55000,Retired,Female,Single,Associate Degree,California,Asian,West Coast,Centrist,Registered,Heterosexual,Non-Veteran,3,Likely,High,Trustful,Fair,Excellent,Christian,Non-Possessor
Democrat,69,45000,Student,Female,Married,Master's Degree,Louisiana,Black,South,Libertarian,Registered,Heterosexual,Non-Veteran,2,Unlikely,Low,Neutral,Good,Excellent,Christian,Possessor
Republican,51,155000,Retired,Male,Widowed,Doctoral Degree,Oklahoma,White,South,Libertarian,Registered,Heterosexual,Non-Veteran,4,Undecided,Low,Neutral,Excellent,Excellent,Christian,Non-Possessor
Democrat,74,245000,Employed,Female,Divorced,Associate Degree,Utah,Other,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,1,Unlikely,Middle,Neutral,Poor,Poor,Christian,Possessor
Democrat,43,95000,Student,Female,Single,Master's Degree,Wyoming,Hispanic,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,0,Unlikely,Low,Neutral,Excellent,Good,Christian,Possessor
Democrat,35,125000,Retired,Male,Widowed,Doctoral Degree,Alaska,Hispanic,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,2,Unlikely,Low,Distrustful,Good,Good,Muslim,Non-Possessor
Democrat,29,20000,Self-employed,Male,Widowed,Associate Degree,Delaware,Hispanic,South,Progressive,Registered,Heterosexual,Non-Veteran,2,Likely,High,Distrustful,Poor,Poor,Christian,Non-Possessor
Democrat,69,200000,Retired,Male,Widowed,Associate Degree,Connecticut,Black,Northeast,Centrist,Registered,Heterosexual,Non-Veteran,3,Unlikely,Middle,Trustful,Poor,Good,Hindu,Non-Possessor
Democrat,46,200000,Unemployed,Female,Divorced,High School,California,Black,West Coast,Liberal,Registered,Heterosexual,Non-Veteran,4,Undecided,Low,Neutral,Good,Fair,Hindu,Possessor
Republican,66,290000,Unemployed,Male,Single,Bachelor's Degree,Wyoming,White,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,5,Unlikely,High,Distrustful,Excellent,Excellent,Christian,Possessor
Republican,58,60000,Self-employed,Female,Married,High School,Wyoming,Black,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,3,Likely,Middle,Neutral,Poor,Good,Christian,Non-Possessor
Democrat,52,185000,Unemployed,Male,Widowed,Doctoral Degree,Idaho,Other,Unknown,Liberal,Registered,Heterosexual,Non-Veteran,1,Unlikely,Middle,Neutral,Poor,Good,Christian,Possessor
Democrat,64,140000,Self-employed,Non-Binary,Widowed,Master's Degree,West Virginia,Hispanic,South,Socialist,Registered,Heterosexual,Non-Veteran,1,Unlikely,Low,Neutral,Excellent,Fair,Christian,Non-Possessor
Republican,68,335000,Student,Male,Divorced,Master's Degree,Louisiana,Hispanic,South,Centrist,Registered,Heterosexual,Non-Veteran,4,Likely,Low,Trustful,Good,Excellent,Christian,Non-Possessor
Democrat,19,340000,Student,Female,Widowed,High School,Maine,Black,Northeast,Conservative,Registered,Heterosexual,Non-Veteran,5,Likely,Middle,Distrustful,Excellent,Fair,Hindu,Non-Possessor
Democrat,47,225000,Unemployed,Female,Married,Associate Degree,South Carolina,Black,South,Libertarian,Registered,Heterosexual,Veteran,3,Undecided,Low,Trustful,Poor,Good,Jewish,Non-Possessor
Republican,24,240000,Student,Female,Divorced,High School,Nebraska,Hispanic,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,0,Likely,High,Distrustful,Excellent,Excellent,Jewish,Possessor
Democrat,18,70000,Retired,Male,Divorced,Doctoral Degree,Virginia,Hispanic,South,Socialist,Registered,Heterosexual,Non-Veteran,2,Likely,High,Neutral,Good,Excellent,Muslim,Non-Possessor
Democrat,49,260000,Unemployed,Female,Married,Master's Degree,South Carolina,Asian,South,Liberal,Registered,Heterosexual,Non-Veteran,1,Unlikely,Middle,Distrustful,Good,Fair,Christian,Non-Possessor
Republican,56,195000,Self-employed,Male,Widowed,High School,Wisconsin,White,Midwest,Socialist,Registered,Heterosexual,Non-Veteran,4,Unlikely,Low,Distrustful,Good,Excellent,Christian,Non-Possessor
Republican,77,195000,Employed,Female,Single,Doctoral Degree,Iowa,Other,Midwest,Libertarian,Registered,Heterosexual,Non-Veteran,5,Likely,High,Neutral,Fair,Good,Christian,Possessor
Democrat,76,155000,Retired,Male,Single,Doctoral Degree,Oregon,Other,West Coast,Liberal,Registered,Heterosexual,Non-Veteran,5,Undecided,Low,Trustful,Poor,Poor,Christian,Non-Possessor
Democrat,69,295000,Student,Non-Binary,Divorced,Bachelor's Degree,Tennessee,Hispanic,South,Libertarian,Registered,Heterosexual,Non-Veteran,1,Likely,High,Trustful,Excellent,Fair,Christian,Non-Possessor
Republican,58,30000,Unemployed,Female,Single,Associate Degree,Delaware,Hispanic,South,Libertarian,Registered,Heterosexual,Non-Veteran,0,Undecided,Middle,Trustful,Good,Good,Christian,Non-Possessor
Democrat,24,35000,Unemployed,Female,Widowed,Associate Degree,Hawaii,White,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,5,Unlikely,Low,Distrustful,Poor,Poor,Christian,Non-Possessor
Democrat,40,15000,Student,Male,Married,Doctoral Degree,Nebraska,Other,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,2,Undecided,Low,Distrustful,Excellent,Good,Christian,Possessor
Democrat,36,275000,Unemployed,Female,Widowed,Bachelor's Degree,West Virginia,Asian,South,Progressive,Registered,Heterosexual,Non-Veteran,0,Unlikely,Low,Neutral,Good,Good,Christian,Possessor
Republican,72,215000,Student,Male,Widowed,High School,Maryland,Black,South,Libertarian,Registered,Gay,Non-Veteran,5,Likely,Middle,Trustful,Poor,Excellent,Christian,Non-Possessor
Republican,76,310000,Student,Male,Divorced,Bachelor's Degree,New Mexico,Hispanic,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,1,Unlikely,High,Trustful,Excellent,Excellent,Christian,Possessor
Republican,46,175000,Self-employed,Female,Widowed,High School,Montana,Asian,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,4,Undecided,Low,Neutral,Excellent,Excellent,Christian,Possessor
Republican,53,135000,Self-employed,Female,Widowed,Bachelor's Degree,Oregon,Black,West Coast,Libertarian,Registered,Heterosexual,Non-Veteran,4,Likely,High,Neutral,Fair,Good,Christian,Non-Possessor
Republican,71,300000,Retired,Female,Widowed,Bachelor's Degree,Texas,Other,South,Centrist,Registered,Heterosexual,Non-Veteran,3,Undecided,Low,Neutral,Excellent,Excellent,Jewish,Non-Possessor
Republican,27,50000,Retired,Female,Married,High School,New Jersey,Other,Northeast,Centrist,Registered,Heterosexual,Veteran,5,Undecided,High,Distrustful,Poor,Good,Muslim,Non-Possessor
Republican,63,320000,Retired,Male,Widowed,Bachelor's Degree,Utah,Hispanic,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,2,Likely,Middle,Distrustful,Poor,Excellent,Christian,Non-Possessor
Democrat,29,235000,Retired,Male,Divorced,Doctoral Degree,Washington,Asian,West Coast,Progressive,Registered,Heterosexual,Non-Veteran,4,Likely,High,Trustful,Fair,Poor,Hindu,Non-Possessor
Republican,37,120000,Employed,Male,Widowed,Associate Degree,Colorado,Black,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,3,Undecided,Middle,Trustful,Good,Excellent,Christian,Possessor
Republican,26,265000,Retired,Male,Married,Associate Degree,Arizona,Asian,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,4,Undecided,Low,Distrustful,Poor,Poor,Christian,Non-Possessor
Republican,71,160000,Retired,Male,Married,Doctoral Degree,California,Asian,West Coast,Libertarian,Registered,Heterosexual,Non-Veteran,3,Undecided,High,Distrustful,Good,Fair,Muslim,Non-Possessor
Democrat,23,220000,Self-employed,Male,Single,Master's Degree,Ohio,Other,Midwest,Conservative,Registered,Heterosexual,Veteran,0,Unlikely,Middle,Trustful,Poor,Poor,Hindu,Possessor
Democrat,18,170000,Employed,Non-Binary,Widowed,Doctoral Degree,Montana,Hispanic,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,0,Undecided,Low,Neutral,Good,Fair,Christian,Possessor
Republican,56,20000,Employed,Male,Married,High School,California,Other,West Coast,Socialist,Registered,Heterosexual,Non-Veteran,5,Likely,Middle,Neutral,Excellent,Fair,Muslim,Non-Possessor
Democrat,39,195000,Unemployed,Female,Married,Master's Degree,South Dakota,White,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,0,Unlikely,Low,Trustful,Good,Poor,Muslim,Non-Possessor
Republican,74,125000,Self-employed,Male,Divorced,Doctoral Degree,Missouri,Other,Midwest,Conservative,Registered,Heterosexual,Non-Veteran,5,Unlikely,High,Distrustful,Poor,Fair,Christian,Non-Possessor
Republican,41,340000,Retired,Non-Binary,Single,Doctoral Degree,Delaware,Black,South,Libertarian,Registered,Heterosexual,Non-Veteran,5,Unlikely,Middle,Trustful,Good,Excellent,Muslim,Non-Possessor
Republican,27,150000,Self-employed,Male,Married,Master's Degree,West Virginia,White,South,Socialist,Registered,Heterosexual,Non-Veteran,5,Likely,Low,Distrustful,Fair,Poor,Christian,Non-Possessor
Republican,64,160000,Unemployed,Male,Widowed,Associate Degree,Florida,Asian,South,Libertarian,Registered,Heterosexual,Non-Veteran,4,Unlikely,High,Neutral,Fair,Excellent,Christian,Non-Possessor
Republican,64,75000,Employed,Male,Widowed,Associate Degree,Vermont,Black,Northeast,Conservative,Registered,Heterosexual,Non-Veteran,5,Likely,Low,Neutral,Excellent,Good,Hindu,Non-Possessor
Republican,23,265000,Employed,Male,Widowed,High School,Minnesota,Other,Midwest,Liberal,Registered,Heterosexual,Non-Veteran,4,Undecided,Low,Distrustful,Fair,Fair,Christian,Non-Possessor
Democrat,41,230000,Retired,Female,Married,Master's Degree,Arizona,Hispanic,Unknown,Liberal,Registered,Heterosexual,Non-Veteran,1,Likely,Low,Distrustful,Fair,Good,Christian,Possessor
Democrat,19,225000,Self-employed,Male,Single,Doctoral Degree,Georgia,Other,South,Socialist,Registered,Heterosexual,Non-Veteran,1,Undecided,Middle,Neutral,Excellent,Good,Hindu,Non-Possessor
Republican,69,305000,Employed,Male,Divorced,Doctoral Degree,Utah,Asian,Unknown,Liberal,Registered,Heterosexual,Non-Veteran,3,Undecided,Middle,Neutral,Good,Excellent,Christian,Non-Possessor
Democrat,68,110000,Student,Male,Widowed,Master's Degree,New York,Other,Northeast,Progressive,Registered,Heterosexual,Non-Veteran,2,Likely,Low,Trustful,Fair,Poor,Christian,Possessor
Democrat,24,220000,Student,Female,Divorced,High School,New York,Hispanic,Northeast,Libertarian,Registered,Heterosexual,Non-Veteran,5,Undecided,Low,Trustful,Excellent,Fair,Jewish,Non-Possessor
Democrat,61,90000,Employed,Female,Divorced,Bachelor's Degree,Mississippi,White,South,Liberal,Registered,Heterosexual,Non-Veteran,1,Likely,High,Trustful,Poor,Poor,Christian,Non-Possessor
Republican,42,275000,Employed,Male,Divorced,High School,Indiana,Asian,Midwest,Conservative,Registered,Heterosexual,Non-Veteran,1,Undecided,Middle,Distrustful,Poor,Good,Christian,Non-Possessor
Republican,43,190000,Student,Male,Married,Doctoral Degree,Wisconsin,White,Midwest,Libertarian,Registered,Heterosexual,Non-Veteran,1,Undecided,Low,Distrustful,Good,Poor,Christian,Non-Possessor
Republican,27,65000,Student,Male,Widowed,Master's Degree,Nevada,White,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,2,Undecided,High,Distrustful,Poor,Good,Christian,Non-Possessor
Republican,77,310000,Unemployed,Male,Married,Associate Degree,Tennessee,White,South,Libertarian,Registered,Heterosexual,Non-Veteran,4,Likely,Low,Distrustful,Fair,Poor,Christian,Non-Possessor
Democrat,74,165000,Unemployed,Male,Widowed,High School,New Jersey,White,Northeast,Centrist,Registered,Heterosexual,Non-Veteran,2,Likely,High,Trustful,Fair,Good,Jewish,Non-Possessor
Republican,43,195000,Student,Male,Married,Associate Degree,Massachusetts,White,Northeast,Libertarian,Registered,Heterosexual,Non-Veteran,2,Likely,High,Distrustful,Good,Fair,Christian,Non-Possessor
Democrat,44,335000,Retired,Female,Married,Bachelor's Degree,Alaska,Asian,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,5,Likely,Middle,Distrustful,Fair,Fair,Christian,Possessor
Republican,20,65000,Self-employed,Male,Married,Bachelor's Degree,Illinois,Other,Midwest,Conservative,Registered,Heterosexual,Non-Veteran,1,Unlikely,Middle,Distrustful,Excellent,Poor,Christian,Possessor
Democrat,66,125000,Self-employed,Female,Divorced,Bachelor's Degree,Delaware,White,South,Progressive,Registered,Heterosexual,Non-Veteran,3,Unlikely,Middle,Distrustful,Excellent,Fair,Hindu,Non-Possessor
Democrat,19,125000,Unemployed,Non-Binary,Widowed,Master's Degree,Tennessee,Asian,South,Libertarian,Registered,Heterosexual,Non-Veteran,5,Likely,Low,Trustful,Poor,Good,Christian,Non-Possessor
Democrat,40,40000,Retired,Male,Divorced,Bachelor's Degree,South Carolina,Other,South,Centrist,Registered,Heterosexual,Non-Veteran,3,Unlikely,Low,Trustful,Poor,Excellent,Christian,Non-Possessor
Republican,61,270000,Employed,Male,Divorced,Master's Degree,Utah,White,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,0,Undecided,Middle,Trustful,Good,Excellent,Muslim,Non-Possessor
Republican,78,170000,Unemployed,Male,Married,Master's Degree,Arkansas,Other,South,Conservative,Registered,Heterosexual,Veteran,5,Undecided,Low,Distrustful,Poor,Poor,Muslim,Possessor
Republican,30,270000,Retired,Non-Binary,Divorced,Bachelor's Degree,New York,White,Northeast,Centrist,Registered,Heterosexual,Non-Veteran,4,Undecided,High,Neutral,Excellent,Excellent,Christian,Non-Possessor
Democrat,32,35000,Student,Male,Widowed,Bachelor's Degree,Florida,Asian,South,Socialist,Registered,Heterosexual,Non-Veteran,0,Likely,Low,Distrustful,Excellent,Fair,Christian,Possessor
Democrat,39,15000,Unemployed,Male,Single,Master's Degree,Utah,Asian,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,1,Undecided,Middle,Neutral,Good,Poor,Christian,Non-Possessor
Democrat,75,265000,Unemployed,Male,Single,High School,Connecticut,Hispanic,Northeast,Socialist,Registered,Heterosexual,Veteran,0,Unlikely,Low,Trustful,Poor,Fair,Christian,Non-Possessor
Democrat,67,50000,Unemployed,Male,Widowed,High School,South Carolina,Hispanic,South,Liberal,Registered,Heterosexual,Non-Veteran,3,Undecided,Middle,Trustful,Fair,Poor,Muslim,Non-Possessor
Democrat,48,265000,Student,Male,Widowed,Master's Degree,Wyoming,Black,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,1,Likely,Middle,Neutral,Poor,Excellent,Christian,Non-Possessor
Republican,50,315000,Employed,Female,Divorced,Doctoral Degree,Michigan,White,Midwest,Libertarian,Registered,Heterosexual,Non-Veteran,4,Likely,Middle,Distrustful,Poor,Fair,Christian,Non-Possessor
Democrat,44,150000,Unemployed,Male,Married,Doctoral Degree,Colorado,Asian,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,3,Likely,High,Neutral,Good,Excellent,Jewish,Non-Possessor
Republican,69,305000,Employed,Female,Single,High School,Nebraska,Black,Unknown,Liberal,Registered,Heterosexual,Non-Veteran,0,Unlikely,Low,Neutral,Excellent,Excellent,Christian,Non-Possessor
Democrat,30,20000,Self-employed,Male,Widowed,Doctoral Degree,Vermont,Asian,Northeast,Centrist,Registered,Heterosexual,Non-Veteran,1,Likely,High,Distrustful,Excellent,Fair,Christian,Non-Possessor
Republican,59,300000,Employed,Male,Married,High School,North Carolina,Other,South,Liberal,Registered,Gay,Non-Veteran,4,Unlikely,Low,Trustful,Excellent,Good,Christian,Non-Possessor
Democrat,22,55000,Student,Male,Single,Associate Degree,Louisiana,White,South,Socialist,Registered,Heterosexual,Non-Veteran,0,Undecided,Low,Trustful,Good,Fair,Christian,Possessor
Democrat,76,170000,Self-employed,Female,Married,Associate Degree,Rhode Island,Hispanic,Northeast,Socialist,Registered,Heterosexual,Non-Veteran,0,Unlikely,High,Trustful,Poor,Fair,Christian,Possessor
Republican,52,210000,Retired,Male,Single,Master's Degree,Idaho,Other,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,5,Undecided,Low,Neutral,Excellent,Good,Muslim,Non-Possessor
Democrat,36,80000,Student,Female,Married,High School,New York,Asian,Northeast,Liberal,Registered,Heterosexual,Non-Veteran,2,Likely,High,Trustful,Excellent,Fair,Christian,Possessor
Democrat,53,50000,Self-employed,Female,Divorced,Associate Degree,Kentucky,Other,South,Socialist,Registered,Gay,Non-Veteran,4,Likely,Middle,Neutral,Excellent,Fair,Christian,Non-Possessor
Democrat,39,160000,Retired,Female,Divorced,Doctoral Degree,Pennsylvania,Black,Northeast,Conservative,Registered,Heterosexual,Non-Veteran,0,Undecided,Middle,Neutral,Fair,Good,Christian,Non-Possessor
Democrat,44,95000,Unemployed,Male,Divorced,Doctoral Degree,Oregon,Asian,West Coast,Progressive,Registered,Heterosexual,Non-Veteran,2,Likely,High,Trustful,Excellent,Poor,Muslim,Non-Possessor
Democrat,31,170000,Student,Male,Married,Master's Degree,Montana,White,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,2,Undecided,High,Neutral,Fair,Poor,Muslim,Non-Possessor
Republican,61,20000,Self-employed,Non-Binary,Divorced,Associate Degree,South Carolina,Other,South,Liberal,Registered,Heterosexual,Non-Veteran,4,Unlikely,High,Trustful,Excellent,Excellent,Christian,Non-Possessor
Republican,38,200000,Retired,Female,Widowed,High School,North Dakota,White,Unknown,Liberal,Registered,Heterosexual,Non-Veteran,0,Unlikely,Low,Trustful,Excellent,Excellent,Christian,Possessor
Democrat,71,45000,Unemployed,Female,Married,Bachelor's Degree,Vermont,Hispanic,Northeast,Socialist,Registered,Heterosexual,Non-Veteran,5,Unlikely,Middle,Distrustful,Good,Good,Jewish,Non-Possessor
Republican,42,60000,Student,Male,Widowed,Master's Degree,Arkansas,Asian,South,Conservative,Registered,Heterosexual,Non-Veteran,5,Undecided,Low,Distrustful,Fair,Good,Christian,Non-Possessor
Democrat,76,65000,Retired,Female,Widowed,Bachelor's Degree,South Dakota,White,Unknown,Liberal,Registered,Heterosexual,Non-Veteran,3,Undecided,Low,Trustful,Excellent,Good,Muslim,Non-Possessor
Republican,51,330000,Unemployed,Male,Widowed,Bachelor's Degree,Washington,White,West Coast,Centrist,Registered,Heterosexual,Non-Veteran,4,Likely,Middle,Trustful,Excellent,Poor,Christian,Non-Possessor
Republican,64,260000,Student,Non-Binary,Single,High School,New Mexico,White,Unknown,Libertarian,Registered,Gay,Non-Veteran,2,Undecided,Low,Trustful,Excellent,Good,Christian,Non-Possessor
Republican,46,325000,Retired,Female,Married,Master's Degree,Mississippi,White,South,Libertarian,Registered,Heterosexual,Non-Veteran,3,Unlikely,Low,Distrustful,Poor,Excellent,Hindu,Non-Possessor
Republican,54,265000,Unemployed,Male,Single,Master's Degree,Oregon,White,West Coast,Liberal,Registered,Heterosexual,Non-Veteran,4,Likely,High,Neutral,Good,Fair,Christian,Non-Possessor
Republican,44,255000,Retired,Male,Divorced,Doctoral Degree,Delaware,Hispanic,South,Centrist,Registered,Heterosexual,Non-Veteran,5,Likely,Middle,Trustful,Excellent,Good,Christian,Non-Possessor
Republican,71,250000,Self-employed,Male,Single,High School,Kansas,Hispanic,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,2,Undecided,High,Neutral,Poor,Poor,Hindu,Possessor
Republican,68,195000,Unemployed,Male,Divorced,Master's Degree,Hawaii,White,Unknown,Centrist,Registered,Gay,Non-Veteran,3,Likely,Middle,Distrustful,Excellent,Excellent,Christian,Possessor
Democrat,77,310000,Student,Female,Single,High School,Texas,Hispanic,South,Liberal,Registered,Heterosexual,Veteran,1,Undecided,Middle,Trustful,Excellent,Fair,Hindu,Possessor
Democrat,48,130000,Student,Male,Divorced,Master's Degree,South Carolina,Other,South,Socialist,Registered,Heterosexual,Non-Veteran,5,Likely,High,Neutral,Good,Poor,Christian,Non-Possessor
Democrat,40,235000,Self-employed,Male,Single,Master's Degree,New Jersey,Black,Northeast,Conservative,Registered,Heterosexual,Non-Veteran,4,Undecided,Low,Neutral,Poor,Poor,Christian,Possessor
Republican,52,165000,Employed,Male,Married,Doctoral Degree,Washington,Asian,West Coast,Liberal,Registered,Heterosexual,Non-Veteran,4,Undecided,Low,Neutral,Fair,Good,Christian,Non-Possessor
Democrat,28,235000,Student,Male,Divorced,Associate Degree,Texas,White,South,Conservative,Registered,Heterosexual,Non-Veteran,4,Undecided,Low,Trustful,Poor,Fair,Christian,Non-Possessor
Democrat,71,225000,Student,Male,Married,Master's Degree,Michigan,Asian,Midwest,Centrist,Registered,Heterosexual,Non-Veteran,4,Likely,Low,Neutral,Poor,Excellent,Jewish,Possessor
Democrat,69,70000,Self-employed,Non-Binary,Married,High School,New Hampshire,Hispanic,Northeast,Conservative,Registered,Heterosexual,Non-Veteran,3,Undecided,Low,Trustful,Good,Poor,Christian,Non-Possessor
Democrat,72,155000,Unemployed,Male,Single,Master's Degree,Utah,Other,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,5,Likely,Low,Distrustful,Good,Poor,Christian,Non-Possessor
Democrat,37,135000,Self-employed,Male,Single,Bachelor's Degree,Georgia,Other,South,Conservative,Registered,Heterosexual,Non-Veteran,0,Likely,Middle,Distrustful,Poor,Poor,Hindu,Non-Possessor
Republican,37,225000,Employed,Male,Divorced,Associate Degree,Colorado,White,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,4,Likely,Middle,Trustful,Fair,Poor,Christian,Possessor
Republican,72,235000,Student,Female,Widowed,High School,South Carolina,Other,South,Socialist,Registered,Heterosexual,Non-Veteran,5,Undecided,High,Neutral,Good,Poor,Christian,Non-Possessor
Democrat,72,90000,Unemployed,Female,Single,Associate Degree,Florida,Asian,South,Libertarian,Registered,Heterosexual,Non-Veteran,1,Undecided,High,Trustful,Fair,Fair,Christian,Non-Possessor
Democrat,22,325000,Unemployed,Male,Divorced,High School,Minnesota,Black,Midwest,Conservative,Registered,Gay,Non-Veteran,2,Unlikely,Low,Trustful,Good,Good,Christian,Non-Possessor
Democrat,43,240000,Employed,Female,Widowed,Bachelor's Degree,South Dakota,White,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,3,Undecided,High,Distrustful,Poor,Poor,Hindu,Non-Possessor
Democrat,35,290000,Employed,Female,Divorced,Associate Degree,Nebraska,White,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,4,Undecided,High,Neutral,Excellent,Fair,Hindu,Non-Possessor
Republican,55,315000,Retired,Female,Widowed,Associate Degree,Michigan,White,Midwest,Socialist,Registered,Heterosexual,Non-Veteran,4,Likely,High,Trustful,Excellent,Excellent,Christian,Non-Possessor
Democrat,68,165000,Unemployed,Female,Single,High School,North Carolina,Black,South,Conservative,Registered,Heterosexual,Non-Veteran,0,Undecided,Middle,Distrustful,Fair,Poor,Hindu,Non-Possessor
Democrat,47,50000,Employed,Male,Widowed,Bachelor's Degree,Utah,White,Unknown,Liberal,Registered,Heterosexual,Non-Veteran,4,Unlikely,Low,Trustful,Fair,Good,Christian,Possessor
Democrat,49,25000,Retired,Female,Single,Associate Degree,California,Other,West Coast,Socialist,Registered,Heterosexual,Veteran,3,Undecided,Low,Neutral,Fair,Excellent,Muslim,Possessor
